DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P51;P771;P772;P773;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S9A2;P779S14;P780;P780S2;P780S2A1;P780S3;P780S3A1;P780S4;P780S4A1;FEX_C
7171663;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;295,50205765422
7171671;6;1;6;1; ; ;1;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;281,161771740847
7171672;5;1;5;5;2;1; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ;1;1;1;1;1;1; ; ;1;1; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;191,602071471356
7171674;9;1;9;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;112,783449190901
7171674;10;1;10;3;2;6; ;1;4; ; ; ;1;4; ; ; ;1;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;112,783449190901
7171676;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;115,173554412197
7171677;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1;1;1;1;1; ; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;309,115995098368
7171678;4;1;4;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;132,5918492595
7171680;5;1;5;1; ; ;5;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;135,57358500987
7171682;4;1;4;3;2;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;2;1;1; ; ;1;1; ; ; ; ;2; ;1;2;2; ;147,402413622
7171683;2;1;2;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;1;1;1;1;1;1;1; ; ;1;1;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;112,820999934026
7171685;4;1;4;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;92,4364328385849
7171685;5;1;5;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;92,4364328385849
7171687;8;1;8;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;350,334175561396
7171693;2;1;2;5;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;192,330984323021
7171695;6;1;6;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;180,708795913636
7171699;3;1;3;1; ; ;4;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;232,148616029721
7171702;2;1;2;1; ; ;4;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;140,306637568123
7171708;4;1;4;1; ; ;2;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;117,859421564
7171714;3;1;3;1; ; ;3;1;3; ; ;10000;1;3; ; ;5000;1;2; ; ; ; ;1;2;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;301,404549587723
7171717;7;1;7;3;2;4; ;1;4; ; ; ;1;4; ; ; ;1;6; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;80,2167997284827
7171721;5;1;5;1; ; ;2;1;3; ; ;7000;1;3; ; ;7000;1;2; ; ; ; ;1;2;1;2; ; ;1;1; ; ;1;2;1;3; ; ;1;2; ; ; ; ; ; ;2; ;2; ;2; ;11,8530430756455
7171733;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2;1;2;1;1;1;2;1;2;1;1; ; ;2; ;2; ;2; ;8,20921211510075
7171742;5;1;5;2;2;5; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ;1;4;1;1; ; ;1;1;1;2;1;1;1;1; ; ; ; ; ; ;2; ;2; ;2; ;497,244030670197
7171748;3;1;3;1; ; ;3;1;3; ; ;8000;1;3; ; ;4000;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;95,8671047674667
7171752;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;27,0525674629671
7171753;5;1;5;5;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2; ;1;2;2; ;20,0090090204908
7171761;4;1;4;1; ; ;5;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;99,2456758156497
7171765;5;1;5;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;54,2709842676982
7171768;3;1;3;3;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;3;1;2; ; ;1;1; ; ; ; ;2; ;1;2;2; ;90,0881711161792
7171772;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2;1;2; ; ; ; ;1;3; ; ; ; ;2; ;2; ;2; ;151,023479963357
7171774;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;2; ;1;2;2; ;271,39208424153
7171786;6;1;6;1; ; ;4;1;1; ; ; ;1;3; ; ;8000;1;2; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;1;1;1;1;1;1;1; ; ; ; ; ; ;1;2;1;2;2; ;81,9000903392717
7171797;4;1;4;2;2;6; ;1;4; ; ; ;2; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;40,2671762335556
7171798;5;1;5;3;2;4; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;41,5985538868419
7171805;4;1;4;1; ; ;1;1;3; ; ;10000;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ;1;3; ; ; ; ; ; ;2; ;2; ;2; ;64,7532418837027
7171810;3;1;3;2;2;4; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;79,0629323265975
7171814;3;1;3;2;2;5; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;31,9637365252803
7171820;4;1;4;1; ; ;1;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ;1;4;1;4; ; ;1;4; ; ; ; ;1;3;1;2; ; ;1;1; ; ; ; ;1;2;2; ;2; ;64,7532418837027
7171824;5;1;5;2;2;1; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2;2; ;1158,00147684595
7171837;5;1;5;2;2;4; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;122,560473550315
7171838;6;1;6;2;2;6; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;74,2826437901312
7171840;5;1;5;5;2;5; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;119,074293054404
7171841;8;1;8;1; ; ;2;1;3; ; ;4000;1;3; ; ;3000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;175,851576841419
7171863;3;1;3;2;2;3; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;138,481778687594
7171863;3;2;3;3;2;5; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;138,481778687594
7171882;2;1;2;5;2;1; ;1;4; ; ; ;2; ; ; ; ;2; ;2;39;4; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;21,4877714949526
7171888;4;1;4;2;2;1; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;20,3182881865218
7171900;3;2;3;5;2;1; ;1;4; ; ; ;2; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;9,23138111923702
7171902;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;4;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;26,4018448735183
7171904;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;16,6294243341434
7171908;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;15,9789255931294
7171910;4;1;4;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;11,5566572732825
7171915;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ;1;1;1;1; ; ;1;1; ; ;1;1;1;4;1;2; ; ; ; ;2; ;1;2;2; ;111,603783744115
7171920;3;1;3;2;1;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;113,168091297585
7171921;4;1;4;3;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;100,992863396676
7171930;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2;1;1; ; ;1;1; ; ;1;2; ; ;1;1; ; ;1;2; ; ; ; ;2; ;2; ;2; ;120,590775865892
7171938;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1;1;1; ; ;1;1; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;89,5160814887673
7171940;3;1;3;1; ; ;1;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;99,5095201959127
7171948;6;1;6;1; ; ;1;1;4; ; ; ;2; ; ; ; ;1;5; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;2; ; ; ; ;2; ;2; ;2; ;116,584843771937
7171948;9;1;9;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;7; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;116,584843771937
7171950;4;1;4;3;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;102,149475030584
7171979;5;1;5;2;2;4; ;1;1; ; ; ;1;1; ; ; ;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;344,498316207066
7171992;4;1;4;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;227,600906376438
7172008;4;1;4;1; ; ;1;1;3; ; ;10000;1;3; ; ;5000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;341,654259266124
7172010;3;1;3;1; ; ;2;1;3; ; ;5000;1;3; ; ;2000;2; ;2;47;1; ; ; ;1;2;1;2;1;1; ; ; ; ;1;3;1;1; ; ;1;1; ; ; ; ;2; ;2; ;2; ;176,249972109649
7172011;4;1;4;2;1;5; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;151,339770421857
7172015;4;1;4;5;2;6; ;1;4; ; ; ;1;4; ; ; ;2; ;2;48;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;346,19083024815
7172016;4;1;4;1; ; ;5;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;157,46110616711
7172016;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;157,46110616711
7172019;3;1;3;1; ; ;5;1;3; ; ;5000;1;3; ; ;5000;1;2; ; ; ; ; ; ;1;2;1;2;1;1; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;162,553797130101
7172022;4;2;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;196,543884094202
7172029;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;202,166832394982
7172033;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;389,086606270826
7172038;4;1;4;1; ; ;2;1;3; ; ;5000;1;3; ; ;3000;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;250,311485872238
7172039;5;1;5;2;9;8; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;149,85669274875
7172039;6;1;6;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;149,85669274875
7172045;4;1;4;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;89,4581826881146
7172054;6;1;6;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;161,431911570876
7172055;4;1;4;2;2;6; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;134,274833398999
7172055;6;1;6;2;2;4; ;1;1; ; ; ;1;1; ; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;134,274833398999
7172063;3;1;3;2;1;3; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1256,3825256527
7172064;2;1;2;2;1;8; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;2; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1027,87905562029
7172080;4;1;4;1; ; ;1;1;2;99;5000; ;1;2;99;5000; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;320,981859536631
7172080;5;1;5;1; ; ;1;1;2;99;5000; ;1;2;99;5000; ;1;2; ; ; ; ; ; ;1;2; ; ; ; ; ; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;320,981859536631
7172080;6;1;6;3;2;5; ;1;4; ; ; ;2; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;320,981859536631
7172083;3;1;3;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;766,896057040815
7172083;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;2;1;2;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;766,896057040815
7172091;6;1;6;3;2;6; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ;1;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;2; ; ; ; ;2; ;2; ;2; ;90,0426083189858
7172093;4;1;4;1; ; ;1;1;3; ; ;5000;1;3; ; ;2000;2; ;2;55;1; ;1;2; ; ; ; ;1;2;1;2;1;1;1;3;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;70,331030231438
7172096;4;1;4;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;2; ; ;1;1;1;1; ; ; ; ;1;2;1;1;1;2;1;2; ; ; ; ;2; ;1;2;1;2;69,5626417282065
7172109;2;1;2;2;2;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ;1;2;1;2;1;2; ; ;1;2;1;4; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;86,1610871301358
7172130;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;121,306004726844
7172147;3;1;3;2;2;3; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ;1;3; ; ; ; ;1;1; ; ; ; ;1;3;1;2; ; ; ; ; ; ; ; ;2; ;2; ;2; ;139,959598829493
7172157;4;1;4;1; ; ;2;1;2;1400;6000; ;1;3; ; ;2000;1;3; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1;1; ; ;1;1;1;2;1;2; ; ; ; ;2; ;2; ;2; ;83,0955924720003
7172171;4;1;4;1; ; ;3;1;4; ; ; ;1;3; ; ;2000;1;1; ; ; ; ; ; ;1;1; ; ;1;2; ; ; ; ; ; ;1;1;1;3; ; ; ; ; ; ;2; ;2; ;1;2;273,936185771105
7172186;4;1;4;1; ; ;2;1;3; ; ;2000;1;3; ; ;2000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;70,331030231438
7172200;5;1;5;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;119,957928067629
7172224;6;1;6;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;57,1358434669511
7172245;3;1;3;5;2;6; ;1;4; ; ; ;1;4; ; ; ;2; ;2;50;10; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;121,297477074767
7172245;4;1;4;5;2;6; ;1;4; ; ; ;1;4; ; ; ;2; ;2;50;10; ;1;2;1;2; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;121,297477074767
7172251;3;1;3;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;111,23822485006
7172254;3;1;3;1; ; ;5;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;119,244198477192
7172254;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;119,244198477192
7172260;3;1;3;2;2;1; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;107,519616271704
7172260;4;1;4;2;2;6; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;107,519616271704
7172263;3;1;3;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;97,198623519437
7172264;3;1;3;2;1;4; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ;115,688843098849
7172264;4;1;4;2;1;6; ;1;4; ; ; ;1;4; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;115,688843098849
7172268;5;1;5;1; ; ;2;1;3; ; ;5000;1;3; ; ;5000;1;2; ; ; ; ; ; ;1;4;1;4;1;1; ; ;1;4;1;2;1;1;1;4;1;2; ; ; ; ;2; ;1;2;1;2;741,291481958106
7172272;6;2;6;1; ; ;3;1;4; ; ; ;1;4; ; ; ;1;4; ; ; ; ;1;1; ; ;1;1;1;1; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;2;1070,84580642517
7172284;5;1;5;1; ; ;1;1;3; ; ;5000;1;3; ; ;5000;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;1395,99470408556
7172285;4;1;4;2;1;5; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1838,53250560871
7172286;7;1;7;1; ; ;1;1;3; ; ;5000;1;3; ; ;5000;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2; ;1601,02488461096
7172287;3;1;3;1; ; ;1;1;3; ; ;5000;1;3; ; ;5000;1;2; ; ; ; ;1;1;1;1;1;1; ; ;1;1;1;1;1;1;1;1;1;1;1;1; ; ; ; ;1;2;1;2;1;1;793,153799203764
7172289;3;1;3;1; ; ;1;1;3; ; ;5000;1;3; ; ;5000;1;1; ; ; ; ;1;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3; ; ; ; ;2; ;2; ;2; ;880,181942190192
